City_ID,City,Country,Max Temp,Weather Description,lat,lng,Hotel Name
258,Broken Hill,AU,67.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
261,Itamaraca,BR,82.45,few clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
262,Matara,LK,76.39,few clouds,5.9485,80.5353,Amaloh Boutique Resort
268,Nkhotakota,MW,70.97,light rain,-12.9274,34.2961,Sitima Inn
272,Gizo,SB,83.53,light rain,-8.103,156.8419,Imagination Island
273,Banjar,ID,83.7,overcast clouds,-8.19,114.9675,The Hamsa Resort
274,Amahai,ID,83.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
278,Abnub,EG,71.82,overcast clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
279,Sao Joao Da Barra,BR,76.48,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
284,Bambanglipuro,ID,80.94,clear sky,-7.95,110.2833,Puri Brata
286,Kalmunai,LK,77.43,scattered clouds,7.4167,81.8167,VS Villa
288,Bengkulu,ID,79.07,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
290,Karratha,AU,84.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
291,Kieta,PG,83.5,light rain,-6.2167,155.6333,Uruna Bay Retreat
292,Puerto Ayacucho,VE,77.63,moderate rain,5.6639,-67.6236,Posada Turistica Manapiare
293,Boyolangu,ID,80.47,few clouds,-8.1181,111.8935,Yos ega cv
295,Ankazoabo,MG,68.7,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
297,Adre,TD,76.12,overcast clouds,13.4667,22.2,
298,Akyab,MM,79.29,clear sky,20.15,92.9,Hotel Memory
301,Caramay,PH,82.62,broken clouds,10.1815,119.236,Peace and Love Beach Club
304,Bilma,NE,81.05,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
306,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
308,Laguna,US,82.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
309,Almenara,BR,70.45,light rain,-16.1836,-40.6944,Pousada Estância
310,Tual,ID,82.04,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
313,Khowai,IN,76.78,clear sky,24.1,91.6333,RD GAMING
314,San Isidro,PE,77.02,few clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
321,Mantenopolis,BR,69.67,clear sky,-18.8625,-41.1228,Deed's Hotel
323,Kikwit,CD,69.98,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
324,Makurdi,NG,82.53,broken clouds,7.7411,8.5121,Doo Palace Hotel
326,Huarmey,PE,70.05,broken clouds,-10.0681,-78.1522,Hotel Miramar
327,Wanning,CN,65.41,overcast clouds,18.8003,110.3967,Paradise Hotel
331,Chilca,PE,67.96,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
332,Moerai,PF,81.19,overcast clouds,-22.4333,-151.3333,Le Manotel
334,Benguela,AO,76.24,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
336,Takoradi,GH,80.28,light rain,4.8845,-1.7554,Raybow International Hotel
339,Caninde,BR,71.13,broken clouds,-4.3589,-39.3117,Hotel Casa Grande II
344,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
346,Palimbang,PH,78.3,light rain,6.2106,124.1894,Felmar Beach resort
348,Pueblo,US,74.16,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
350,Mahanoro,MG,71.01,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
351,Cartagena,CO,82.02,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
352,Kasangulu,CD,72.48,overcast clouds,-4.5911,15.1708,Hôtel le Relais
355,Kaeo,NZ,72.21,overcast clouds,-35.1,173.7833,Bushido Lodge
358,Bonthe,SL,77.86,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
360,Santa Cruz,BO,71.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
363,Mochudi,BW,68.59,overcast clouds,-24.4167,26.15,RASESA LODGE
366,Mae Sai,TH,66.49,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
370,Phan Thiet,VN,81.61,broken clouds,10.9333,108.1,Hotel Saigon-PT
372,Manggar,ID,83.07,broken clouds,-2.8833,108.2667,Guest Hotel
375,Gat,IL,72.39,overcast clouds,31.61,34.7642,OlusHome
376,Rock Sound,BS,77.13,clear sky,24.9,-76.2,Pink Corral Bay Property
381,Labuhan,ID,81.79,broken clouds,-6.8844,112.2051,DoubleFAG
382,Pasighat,IN,70.84,overcast clouds,28.0667,95.3333,Siang Guest House
384,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
386,Redlands,US,74.19,broken clouds,34.0556,-117.1825,Dynasty Suites Redlands
390,Progreso,MX,84.31,broken clouds,21.2833,-89.6667,Playa Linda Hotel
398,Pacifica,US,76.59,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
399,Christchurch,NZ,70.41,few clouds,-43.5333,172.6333,The George
400,Caiaponia,BR,70.07,clear sky,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
403,San Pedro,PH,84.31,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
408,Russell,US,65.43,clear sky,32.3502,-85.1999,Macs
410,Taoudenni,ML,81.25,clear sky,22.6783,-3.9836,
411,Clearlake,US,75.99,overcast clouds,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
412,Nelson Bay,AU,72.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
413,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
414,Surt,LY,65.25,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
417,Dubti,ET,81.05,clear sky,11.7361,41.0853,degu Shiferaw
420,Doctor Arroyo,MX,71.29,scattered clouds,23.6667,-100.1833,Hotel Plaza
422,Kavaratti,IN,82.13,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
424,Port-Gentil,GA,77.81,overcast clouds,-0.7193,8.7815,Fengshui Residence
425,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
427,Matay,EG,72.55,overcast clouds,28.419,30.7792,Nag Aespen
432,Sinjai,ID,82.08,overcast clouds,-5.1241,120.253,Wisma Sandika
439,Wukari,NG,81.66,overcast clouds,7.85,9.7833,Elimtop
440,Hit,IQ,70.68,overcast clouds,33.6416,42.8251,بيت ابو رباح
442,Dingle,PH,82.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
445,Trairi,BR,74.71,overcast clouds,-3.2778,-39.2689,janelas do mar
453,Hilsa,IN,75.13,clear sky,25.3167,85.2833,Mr. Akiv House
454,Awjilah,LY,73.58,overcast clouds,29.1081,21.2869,المنزل
456,Yumbe,UG,67.64,broken clouds,3.4651,31.2469,Antonio's Hotel
457,Itarema,BR,74.8,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
459,Gurupa,BR,73.9,overcast clouds,-1.405,-51.64,Hotel Vitória
460,Bahia Blanca,AR,65.88,clear sky,-38.7196,-62.2724,Hotel Argos
461,Banda Aceh,ID,80.06,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
463,Balikpapan,ID,76.19,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
464,Puerto Madryn,AR,69.78,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
465,Basoko,CD,70.5,overcast clouds,1.2391,23.616,Jackyna Hotel
466,Harper,LR,78.67,light rain,4.375,-7.7169,Screensaver
467,Quirinopolis,BR,73.08,clear sky,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
468,Mvomero,TZ,72.79,overcast clouds,-6.25,38.6667,Kisampa Bush Retreat
470,Praia,CV,68.54,few clouds,14.9215,-23.5087,LT Aparthotel
471,Owando,CG,72.3,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
473,Amparo,BR,68.92,broken clouds,-22.7011,-46.7644,Quinta da Bocaína
481,Tumalaytay,PH,84.87,overcast clouds,12.2758,123.232,
485,Xai-Xai,MZ,73.92,few clouds,-25.0519,33.6442,Complexo da Familia
487,Sao Miguel Do Tapuio,BR,71.2,overcast clouds,-5.5036,-41.3233,Hotel Tropical
489,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
490,Aland,IN,83.32,few clouds,17.5667,76.5667,Taj Hotel
491,Beloha,MG,70.12,clear sky,-25.1667,45.05,
492,Komatipoort,ZA,72.05,broken clouds,-25.4332,31.9548,Kruger View Backpackers
494,Funtua,NG,76.6,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
499,Galesong,ID,80.62,broken clouds,-5.3166,119.3661,Sapriadi Appy
501,Bubaque,GW,74.37,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
507,Uribia,CO,80.87,clear sky,11.7139,-72.266,Hotel Uribia
508,Ridgecrest,US,84.06,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
515,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
516,Betioky,MG,65.93,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
519,Barranca,PE,68.77,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
525,Mumford,GH,80.98,light rain,5.2618,-0.759,Spanish Villa
529,Hobyo,SO,80.28,few clouds,5.3505,48.5268,Iftin hotel hobyo
530,Jati,PK,75.96,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
531,Macae,BR,74.95,light rain,-22.3708,-41.7869,Golden Tulip Macaé
534,Ndele,CF,79.27,scattered clouds,8.4109,20.6473,
537,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
538,Mahibadhoo,MV,82.72,clear sky,3.7833,72.9667,Omadhoo Inn
540,Yaan,NG,81.32,broken clouds,7.3833,8.5667,
543,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
546,Paka,MY,76.98,moderate rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
547,Socorro,US,82.26,clear sky,31.6546,-106.3033,guarderia imss papalote
550,Ixtapa,MX,74.43,clear sky,20.7,-105.2,hotel la terminal
553,Tonota,BW,67.71,overcast clouds,-21.4833,27.4833,Semotswane Baraka Lodge
554,Yairipok,IN,67.86,scattered clouds,24.6667,94.0667,Ningthounai
555,Amalapuram,IN,78.75,overcast clouds,16.5833,82.0167,swayamprabha service apartments
556,Sao Felix Do Xingu,BR,72.99,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
564,Parit Buntar,MY,77.0,scattered clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
565,Pedernales,DO,78.64,few clouds,18.0384,-71.744,Hotel Costa Marina
566,Fare,PF,82.29,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
570,Sagua La Grande,CU,81.59,moderate rain,22.8067,-80.0756,Hotel Telégrafo
573,Varzea Da Palma,BR,72.25,few clouds,-17.5981,-44.7308,Casa Fernandes
574,Kirakira,SB,83.62,broken clouds,-10.4544,161.9205,SanBiz Lodge
576,Jalu,LY,73.85,overcast clouds,29.0331,21.5482,صاحبة الفخامة
578,Oriximina,BR,75.43,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
582,Kimbe,PG,75.6,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
584,Atar,MR,72.34,clear sky,20.5169,-13.0499,Oumou Elghoura
588,Pemangkat,ID,80.31,scattered clouds,1.1667,108.9667,Ramah Kost KITA
589,Ranong,TH,73.33,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
590,Canutama,BR,68.81,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
591,Alugan,PH,81.01,overcast clouds,12.2188,125.4808,JM Lodge
592,Imbituba,BR,70.83,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
593,Dawei,MM,75.96,few clouds,14.0833,98.2,Hotel Dawei
595,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
596,Toro,CO,79.88,broken clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
598,Vaitape,PF,82.33,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
599,Mbekenyera,TZ,68.74,few clouds,-10.0,38.9833,
600,Espana,PH,81.05,broken clouds,12.3841,122.499,The Boathouse | Sibuyan Island
601,Spanish Town,JM,82.02,few clouds,17.9911,-76.9574,Shan's Cloud
602,Panguna,PG,79.16,light rain,-6.3164,155.4848,
611,Cayhagan,PH,83.14,light rain,9.6697,122.4256,Melrose Beach Resort
613,Maues,BR,74.19,moderate rain,-3.3836,-57.7186,Hotel Miramar
616,Sinnamary,GF,78.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
618,Khandbari,NP,67.69,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
620,Dinanagar,IN,68.56,clear sky,32.15,75.4667,Hotel Raavi
622,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
625,Mana,GF,78.04,overcast clouds,5.6592,-53.7767,LE SAMANA
627,Saravena,CO,80.62,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
629,Baloda,IN,74.61,clear sky,22.15,82.4833,Ganesh Anand Catering services Baloda
634,Callaguip,PH,80.62,scattered clouds,18.0714,120.4867,Pangil Beach Resort
642,Moroni,KM,78.57,clear sky,-11.7022,43.2551,Hotel les Arcades
645,Siuna,NI,76.26,few clouds,13.7332,-84.7773,hotel los chinitos
646,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
647,Tautira,PF,81.88,light rain,-17.7333,-149.15,Pension Oaoa
648,Puerto Escondido,MX,79.52,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
652,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
653,Tepalcingo,MX,82.74,few clouds,18.6,-98.85,Hotel Girasoles
654,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
656,Machilipatnam,IN,80.29,overcast clouds,16.1667,81.1333,R&B Bungalow
657,Muna,MX,81.27,overcast clouds,20.4833,-89.7167,Hotel Villa Antonia
