City_ID,City,Country,lat,lng,Max Temp,% Humidity,% Cloudiness,Wind Speed (mph),Weather Description
127,Hwange,ZW,-18.3693,26.5019,70.93,70,55,0.89,broken clouds
128,Hobart,AU,-42.8794,147.3294,60.26,77,100,5.75,overcast clouds
129,Lorengau,PG,-2.0226,147.2712,79.83,82,100,5.28,overcast clouds
130,Airai,TL,-8.9266,125.4092,68.04,53,74,1.52,broken clouds
131,Leningradskiy,RU,69.3833,178.4167,-3.48,93,100,12.48,overcast clouds
132,Marzuq,YE,14.4,46.4667,68.32,27,1,4.83,clear sky
133,Kavieng,PG,-2.5744,150.7967,80.82,78,100,10.33,overcast clouds
134,Port Augusta,AU,-32.5,137.7667,68.92,37,70,2.62,broken clouds
135,Peterborough,GB,52.5736,-0.2478,34.83,93,5,5.75,clear sky
136,Georgetown,MY,5.4112,100.3354,76.95,94,20,4.61,few clouds
137,Quatre Cocos,MU,-20.2078,57.7625,76.08,88,100,12.33,moderate rain
138,Hamilton,US,39.1834,-84.5333,50.76,56,100,8.05,overcast clouds
139,Patacamaya,BO,-17.2333,-67.9167,47.44,78,96,8.1,overcast clouds
140,Constitucion,CL,-35.3333,-72.4167,58.23,96,78,8.52,light rain
141,Saldanha,ZA,-33.0117,17.9442,60.85,79,0,12.95,clear sky
142,Dakar,SN,14.6937,-17.4441,68.13,88,40,13.8,scattered clouds
143,Qaanaaq,GL,77.484,-69.3632,9.03,79,89,6.76,overcast clouds
144,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.41,92,98,1.28,overcast clouds
145,Bethel,US,41.3712,-73.414,47.25,52,0,5.75,clear sky
146,Ayorou,NE,14.7308,0.9174,84.07,8,100,2.04,overcast clouds
147,Ostrovnoy,RU,68.0531,39.5131,14.65,93,80,13.2,broken clouds
148,Tiksi,RU,71.6872,128.8694,-0.51,100,100,6.02,overcast clouds
149,Bandundu,CD,-3.3167,17.3667,71.1,96,100,0.94,overcast clouds
150,Biak,ID,-0.9131,122.8766,79.56,80,100,3.76,light rain
151,Isangel,VU,-19.55,169.2667,84.31,70,100,9.22,overcast clouds
152,Sola,VU,-13.8833,167.55,75.87,100,100,0.0,light intensity shower rain
153,Tateyama,JP,34.9833,139.8667,49.1,81,100,11.23,light rain
154,Barroquinha,BR,-3.0189,-41.1361,73.78,96,64,4.59,broken clouds
155,Dikson,RU,73.5069,80.5464,-6.32,100,82,8.32,broken clouds
156,Toyooka,JP,35.5333,134.8333,42.85,81,75,1.14,broken clouds
157,Bredasdorp,ZA,-34.5322,20.0403,59.77,81,43,6.51,scattered clouds
158,Khatanga,RU,71.9667,102.5,-3.51,98,100,8.5,overcast clouds
159,Obo,CF,5.3998,26.4869,71.2,86,100,2.3,light rain
160,Taltal,CL,-25.4,-70.4833,63.82,77,0,5.17,clear sky
161,Luanda,AO,-8.8368,13.2343,78.8,89,20,4.61,few clouds
162,Pacific Grove,US,36.6177,-121.9166,66.54,77,0,10.36,clear sky
163,Sayyan,YE,15.1718,44.3244,54.41,27,1,5.21,clear sky
164,Dod Ballapur,IN,13.2919,77.5431,71.44,80,6,7.34,clear sky
165,Upernavik,GL,72.7868,-56.1549,7.97,98,95,11.25,overcast clouds
166,Cochrane,CA,51.1834,-114.4687,41.63,63,20,14.97,few clouds
167,Mbengwi,CM,6.0167,10.0,66.51,84,100,4.0,overcast clouds
168,Pitkyaranta,RU,61.5734,31.4792,11.61,94,7,2.73,clear sky
169,Cayenne,GF,4.9333,-52.3333,80.1,1,75,5.75,broken clouds
170,Ugoofaaru,MV,5.6667,73.0,82.71,70,5,3.8,clear sky
171,Sorong,ID,-0.8833,131.25,80.92,82,98,5.23,overcast clouds
172,Esperance,AU,-33.8667,121.9,75.04,39,42,11.21,scattered clouds
173,Mecca,SA,21.4267,39.8261,79.61,32,3,2.13,clear sky
174,Victoria,HK,22.2855,114.1577,65.25,59,97,11.01,overcast clouds
175,Sibolga,ID,1.7427,98.7792,75.72,89,97,2.26,overcast clouds
176,Meulaboh,ID,4.1363,96.1285,77.36,87,100,1.83,overcast clouds
177,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,8.05,overcast clouds
178,Vanavara,RU,60.34,102.2797,11.61,86,96,9.51,overcast clouds
179,Mendoza,AR,-32.8908,-68.8272,67.53,45,0,3.44,clear sky
180,Khanpur,PK,28.6453,70.6567,73.56,10,3,3.24,clear sky
181,Sabang,ID,5.8933,95.3214,80.13,74,100,3.33,light rain
182,Kudahuvadhoo,MV,2.6708,72.8944,82.51,67,2,2.8,clear sky
183,Mbandaka,CD,0.0487,18.2603,70.05,95,100,3.49,overcast clouds
184,Adrar,MR,20.5022,-10.0711,75.54,13,0,9.1,clear sky
185,Paamiut,GL,61.994,-49.6678,30.85,90,70,4.74,broken clouds
186,Plouzane,FR,48.3833,-4.6167,37.72,80,0,4.61,clear sky
187,Vao,NC,-22.6667,167.4833,79.2,88,75,19.82,broken clouds
188,Gallup,US,35.5281,-108.7426,66.96,21,0,6.91,clear sky
189,Dabat,ET,12.9842,37.765,59.65,44,53,9.19,broken clouds
190,Borzya,RU,50.3833,116.5167,46.51,34,21,13.4,few clouds
191,Bagdarin,RU,54.4333,113.6,33.66,64,100,13.73,overcast clouds
192,Fortuna,US,40.5982,-124.1573,55.92,72,0,17.27,clear sky
193,Kokopo,PG,-4.352,152.2633,80.35,75,92,1.92,overcast clouds
194,Luderitz,NA,-26.6481,15.1594,58.66,86,0,11.48,clear sky
195,Sobolevo,RU,54.4299,31.8996,27.77,91,100,14.61,overcast clouds
196,Gamba,GA,-2.65,10.0,74.3,94,100,2.82,overcast clouds
197,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,100,8.05,moderate rain
198,Tapes,BR,-30.6733,-51.3958,68.74,82,8,16.91,clear sky
199,Chuy,UY,-33.6971,-53.4616,62.62,78,0,10.94,clear sky
200,Khani,GE,41.9563,42.9566,44.17,77,23,9.82,few clouds
201,Champerico,GT,14.3,-91.9167,88.34,70,0,10.89,clear sky
202,Ancud,CL,-41.8697,-73.8203,45.23,77,70,10.13,light rain
203,Yulara,AU,-25.2406,130.9889,71.44,28,0,11.5,clear sky
204,Santa Rosa,PH,14.3122,121.1114,84.09,68,50,14.12,scattered clouds
205,Poli,TZ,-3.3333,36.8,57.94,89,73,0.65,broken clouds
206,Saint George,US,37.1041,-113.5841,80.64,15,0,12.66,clear sky
207,Prado,BR,-17.3411,-39.2208,77.11,83,0,5.57,clear sky
208,Cherskiy,RU,68.75,161.3,0.61,83,92,3.53,overcast clouds
209,Yar-Sale,RU,66.8333,70.8333,-2.36,97,15,8.01,few clouds
210,Lagoa,PT,39.05,-27.9833,58.53,77,100,17.9,overcast clouds
211,Alice Springs,AU,-23.7,133.8833,71.15,32,0,12.66,clear sky
212,Salinas,US,36.6777,-121.6555,74.01,61,0,12.66,clear sky
213,Lata,PT,40.1629,-8.3327,43.92,58,81,4.16,broken clouds
214,Port Blair,IN,11.6667,92.75,80.85,79,73,8.99,broken clouds
215,Caravelas,BR,-17.7125,-39.2481,76.24,83,0,4.61,clear sky
216,Waingapu,ID,-9.6567,120.2641,81.5,74,7,2.91,clear sky
217,Anito,PH,12.4497,125.2886,81.93,73,48,10.25,scattered clouds
218,Honningsvag,NO,70.9821,25.9704,29.95,86,100,14.97,overcast clouds
219,Evanston,US,42.0411,-87.6901,37.47,93,75,11.5,light rain
220,Portland,US,45.5234,-122.6762,60.62,49,40,8.01,scattered clouds
221,Swellendam,ZA,-34.0226,20.4417,58.55,90,75,5.12,broken clouds
222,Nola,IT,40.922,14.5329,43.57,91,80,4.54,broken clouds
223,Guiyang,CN,26.5833,106.7167,39.69,93,100,0.0,fog
224,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.95,99,100,4.94,overcast clouds
225,Hanting,CN,36.7708,119.2108,55.26,39,0,6.91,clear sky
226,Srednekolymsk,RU,67.45,153.6833,-0.15,80,68,3.65,broken clouds
227,Rawson,AR,-43.3002,-65.1023,70.09,52,75,21.85,broken clouds
228,San Patricio,US,28.017,-97.5169,82.49,74,0,12.55,clear sky
229,Tuzha,RU,57.6062,47.936,31.87,97,100,12.82,snow
230,Rudbar,AF,30.15,62.6,66.99,19,0,4.5,clear sky
231,Tiznit,MA,29.5833,-9.5,57.61,83,93,2.26,overcast clouds
232,Yerbogachen,RU,61.2767,108.0108,11.55,93,99,9.42,overcast clouds
233,Zlocieniec,PL,53.5329,16.0113,23.9,75,13,7.05,few clouds
234,Port Macquarie,AU,-31.4333,152.9167,73.89,48,87,5.32,overcast clouds
235,Rio Gallegos,AR,-51.6226,-69.2181,42.85,75,0,11.5,clear sky
236,Mabaruma,GY,8.2,-59.7833,72.73,94,48,4.16,scattered clouds
237,Prokopyevsk,RU,53.9059,86.719,31.77,100,100,5.12,snow
238,Ribeira Grande,PT,38.5167,-28.7,59.9,74,100,19.51,overcast clouds
239,Flinders,AU,-34.5833,150.8552,74.37,60,98,11.01,overcast clouds
240,Powassan,CA,46.0334,-79.3496,34.66,65,100,1.48,overcast clouds
241,Kahului,US,20.8947,-156.47,84.22,62,40,27.63,scattered clouds
242,Rio Grande,BR,-32.035,-52.0986,65.95,75,58,18.43,broken clouds
