City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Isangel,VU,2022-04-02 19:59:52,-19.55,169.2667,81.0,85,100,5.88
88,Dikson,RU,2022-04-02 19:59:52,73.5069,80.5464,-7.87,100,87,7.49
89,Cradock,ZA,2022-04-02 20:00:53,-32.1642,25.6192,57.79,86,100,6.85
90,Karasburg,NA,2022-04-02 20:00:53,-28.0167,18.75,68.95,25,1,11.7
91,Elk City,US,2022-04-02 20:00:54,35.412,-99.4043,66.42,34,0,4.61
92,Sakhon Nakhon,TH,2022-04-02 20:00:54,17.1612,104.1472,62.49,62,99,7.56
93,Port Elizabeth,ZA,2022-04-02 20:00:54,-33.918,25.5701,63.1,95,100,1.01
94,Ballitoville,ZA,2022-04-02 20:00:55,-29.539,31.2144,69.17,97,100,6.46
95,Kieta,PG,2022-04-02 20:00:26,-6.2167,155.6333,78.31,82,98,4.07
96,Sao Joao Da Barra,BR,2022-04-02 20:00:46,-21.6403,-41.0511,79.5,80,17,8.52
97,Christchurch,NZ,2022-04-02 19:57:55,-43.5333,172.6333,58.95,90,100,6.91
98,Pasighat,IN,2022-04-02 20:00:55,28.0667,95.3333,70.39,85,45,2.28
99,Shingu,JP,2022-04-02 20:00:56,33.7333,135.9833,50.45,90,100,11.3
100,Saint-Augustin,CA,2022-04-02 20:00:56,51.226,-58.6502,32.58,97,100,12.8
101,Voh,NC,2022-04-02 20:00:57,-20.9667,164.7,78.21,91,100,4.23
102,Harper,LR,2022-04-02 20:00:57,4.375,-7.7169,79.83,84,100,10.04
103,Bredasdorp,ZA,2022-04-02 19:56:51,-34.5322,20.0403,61.47,79,65,13.31
104,Nhulunbuy,AU,2022-04-02 20:00:58,-12.2333,136.7667,74.01,94,99,0.0
105,Westport,US,2022-04-02 19:59:23,41.1415,-73.3579,55.85,38,23,5.01
106,Avera,US,2022-04-02 20:00:58,33.194,-82.5271,71.38,41,100,3.04
107,Plouzane,FR,2022-04-02 20:00:58,48.3833,-4.6167,42.85,68,0,8.05
108,Atuona,PF,2022-04-02 20:00:59,-9.8,-139.0333,79.29,75,6,15.1
109,Constitucion,CL,2022-04-02 20:00:59,-35.3333,-72.4167,63.09,78,33,16.89
110,Champerico,GT,2022-04-02 20:01:00,14.3,-91.9167,86.99,59,3,13.85
111,Wau,SS,2022-04-02 20:00:06,7.7029,27.9953,89.8,29,100,3.47
112,Havelock,US,2022-04-02 20:01:00,34.8791,-76.9013,64.98,63,9,10.0
113,Saldanha,ZA,2022-04-02 20:01:01,-33.0117,17.9442,63.91,72,0,15.23
114,Katobu,ID,2022-04-02 20:01:01,-4.9408,122.5276,73.31,94,100,0.34
115,Torrington,US,2022-04-02 20:01:02,41.8007,-73.1212,53.13,38,52,3.0
116,Yar-Sale,RU,2022-04-02 20:01:02,66.8333,70.8333,-0.47,95,15,8.19
117,Taltal,CL,2022-04-02 20:01:03,-25.4,-70.4833,66.56,68,22,4.41
118,Mehamn,NO,2022-04-02 20:01:03,71.0357,27.8492,27.59,90,100,23.33
119,Tamandare,BR,2022-04-02 20:01:04,-8.7597,-35.1047,80.82,73,17,6.8
120,Saint-Philippe,RE,2022-04-02 19:56:51,-21.3585,55.7679,76.59,97,100,22.3
121,Amapa,BR,2022-04-02 20:01:04,1.0,-52.0,76.26,97,100,3.87
122,Kapaa,US,2022-04-02 20:01:04,22.0752,-159.319,76.98,90,71,5.99
123,Castro,BR,2022-04-02 20:01:05,-24.7911,-50.0119,61.7,91,100,6.31
124,Mumbwa,ZM,2022-04-02 20:01:05,-14.9783,27.0619,63.7,92,9,3.51
125,Tilichiki,RU,2022-04-02 20:01:06,60.4667,166.1,16.38,93,100,9.66
126,Narsaq,GL,2022-04-02 20:01:06,60.9167,-46.05,41.22,91,99,2.21
127,Khatanga,RU,2022-04-02 19:58:13,71.9667,102.5,-0.83,98,100,6.67
128,Zalesovo,RU,2022-04-02 20:01:07,53.9939,84.7431,31.5,99,100,2.01
129,Mackenzie,CA,2022-04-02 20:00:13,55.2999,-123.1698,39.49,66,81,7.7
130,Shaunavon,CA,2022-04-02 20:01:07,49.6501,-108.4181,49.57,33,100,12.24
131,Biak,ID,2022-04-02 20:01:08,-0.9131,122.8766,76.3,85,100,2.73
132,Qasigiannguit,GL,2022-04-02 20:01:08,68.8193,-51.1922,34.05,88,81,4.09
133,Upernavik,GL,2022-04-02 20:01:08,72.7868,-56.1549,14.18,94,99,12.71
134,Nemuro,JP,2022-04-02 20:01:09,43.3236,145.575,33.66,79,3,13.51
135,Mantua,IT,2022-04-02 20:01:09,45.1667,10.7833,46.09,82,100,5.01
136,Puerto Ayora,EC,2022-04-02 20:02:09,-0.7393,-90.3518,81.55,91,48,5.01
137,Luderitz,NA,2022-04-02 20:02:10,-26.6481,15.1594,61.27,79,0,14.38
138,Cockburn Town,TC,2022-04-02 20:02:10,21.4612,-71.1419,78.04,75,3,16.37
139,Grindavik,IS,2022-04-02 20:02:10,63.8424,-22.4338,45.07,100,75,17.27
140,Tromso,NO,2022-04-02 20:02:11,69.6496,18.957,28.42,93,100,4.61
141,Mount Isa,AU,2022-04-02 20:02:11,-20.7333,139.5,74.97,25,0,8.05
142,Avarua,CK,2022-04-02 20:02:12,-21.2078,-159.775,84.25,70,66,3.44
143,Chokurdakh,RU,2022-04-02 20:02:12,70.6333,147.9167,-2.69,94,100,4.94
144,Nakamura,JP,2022-04-02 20:02:12,32.9833,132.9333,44.29,88,100,3.2
145,Humaita,BR,2022-04-02 20:02:13,-7.5061,-63.0208,71.58,97,100,2.08
146,Kahramanmaras,TR,2022-04-02 20:02:13,38.0,37.0,50.5,68,2,9.62
147,Kununurra,AU,2022-04-02 20:02:13,-15.7667,128.7333,67.98,88,34,1.14
148,Bonthe,SL,2022-04-02 20:02:14,7.5264,-12.505,76.66,89,98,13.76
149,Hithadhoo,MV,2022-04-02 20:02:14,-0.6,73.0833,82.99,69,14,5.23
150,Cosala,MX,2022-04-02 20:02:15,24.4125,-106.6908,91.17,19,25,6.85
151,Port Blair,IN,2022-04-02 20:02:15,11.6667,92.75,81.55,77,59,8.46
152,Tres Picos,MX,2022-04-02 20:02:16,15.8667,-93.5333,91.0,46,0,10.18
